y_true,y_pred,y_probability
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,0,0.35
0,0,0.35
0,0,0.35
0,0,0.35
1,0,0.4
1,0,0.4
1,0,0.4
1,0,0.4
1,0,0.4
1,0,0.4
1,0,0.4
1,0,0.2
1,1,0.8
1,1,0.8
